Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Arrival Date,Duration,Operator,Transport Type,Fare,Origin ID,Destination ID,Service ID
Bridgwater,183,Bristol,13,03/11/2024 10:14,2024-11-03T11:34:00,PT1H20M,megabus Falcon,coach,11.2,183,13,85515739
Bridgwater,183,Bristol,13,03/11/2024 11:30,2024-11-03T12:49:00,PT1H19M,megabus Falcon,coach,11.2,183,13,85529207
Bridgwater,183,Bristol,13,03/11/2024 12:45,2024-11-03T14:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85543543
Bridgwater,183,Bristol,13,03/11/2024 13:45,2024-11-03T15:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85549703
Bridgwater,183,Bristol,13,03/11/2024 14:45,2024-11-03T16:07:00,PT1H22M,megabus Falcon,coach,9.25,183,13,85559951
Bridgwater,183,Bristol,13,03/11/2024 15:44,2024-11-03T17:05:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85566979
Bridgwater,183,Bristol,13,03/11/2024 16:45,2024-11-03T18:05:00,PT1H20M,megabus Falcon,coach,9.25,183,13,85577227
Bridgwater,183,Bristol,13,03/11/2024 17:45,2024-11-03T19:01:00,PT1H16M,megabus Falcon,coach,9.25,183,13,85587475
Bridgwater,183,Bristol,13,03/11/2024 18:44,2024-11-03T19:59:00,PT1H15M,megabus Falcon,coach,9.25,183,13,85597723
Bridgwater,183,Bristol,13,03/11/2024 20:03,2024-11-03T21:15:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85611191
Bridgwater,183,Bristol,13,03/11/2024 21:13,2024-11-03T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621439
Bridgwater,183,Bristol,13,03/11/2024 23:13,2024-11-04T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631687
Bridgwater,183,Bristol Airport,249,28/10/2024 01:13,2024-10-28T02:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85641736
Bridgwater,183,Bristol Airport,249,28/10/2024 03:12,2024-10-28T04:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85427085
Bridgwater,183,Bristol Airport,249,28/10/2024 04:12,2024-10-28T05:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85437333
Bridgwater,183,Bristol Airport,249,28/10/2024 05:12,2024-10-28T06:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85447581
Bridgwater,183,Bristol Airport,249,28/10/2024 06:12,2024-10-28T07:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85457829
Bridgwater,183,Bristol Airport,249,28/10/2024 07:13,2024-10-28T08:04:00,PT51M,megabus Falcon,coach,11.2,183,249,85488044
Bridgwater,183,Bristol Airport,249,28/10/2024 08:14,2024-10-28T09:03:00,PT49M,megabus Falcon,coach,11.2,183,249,85498292
Bridgwater,183,Bristol Airport,249,28/10/2024 09:20,2024-10-28T10:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85510220
Bridgwater,183,Bristol Airport,249,28/10/2024 10:20,2024-10-28T11:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85520468
